risk_value,date,daily_variation,percent_change,trend
530,2000-03-06,6.0,1.1450381679389388,Increase
530,2000-03-07,0.0,0.0,No Change
528,2000-03-08,-2.0,-0.37735849056603765,Decrease
527,2000-03-09,-1.0,-0.18939393939394478,Decrease
526,2000-03-10,-1.0,-0.189753320683117,Decrease
537,2000-03-13,11.0,2.091254752851701,Increase
541,2000-03-14,4.0,0.7448789571694592,Increase
548,2000-03-15,7.0,1.2939001848428777,Increase
547,2000-03-16,-1.0,-0.18248175182481452,Decrease
542,2000-03-17,-5.0,-0.9140767824497242,Decrease
540,2000-03-20,-2.0,-0.36900369003689537,Decrease
539,2000-03-21,-1.0,-0.18518518518518823,Decrease
535,2000-03-22,-4.0,-0.7421150278293154,Decrease
536,2000-03-23,1.0,0.18691588785046953,Increase
524,2000-03-24,-12.0,-2.238805970149249,Decrease
522,2000-03-27,-2.0,-0.3816793893129722,Decrease
535,2000-03-28,13.0,2.490421455938696,Increase
545,2000-03-29,10.0,1.869158878504673,Increase
570,2000-03-30,25.0,4.587155963302747,Increase
570,2000-03-31,0.0,0.0,No Change
579,2000-04-03,9.0,1.5789473684210575,Increase
595,2000-04-04,16.0,2.763385146804831,Increase
601,2000-04-05,6.0,1.0084033613445342,Increase
592,2000-04-06,-9.0,-1.4975041597337757,Decrease
594,2000-04-07,2.0,0.33783783783782884,Increase
607,2000-04-10,13.0,2.188552188552184,Increase
601,2000-04-11,-6.0,-0.9884678747940745,Decrease
599,2000-04-12,-2.0,-0.33277870216306127,Decrease
602,2000-04-13,3.0,0.5008347245408995,Increase
618,2000-04-14,16.0,2.657807308970095,Increase
598,2000-04-17,-20.0,-3.2362459546925515,Decrease
578,2000-04-18,-20.0,-3.3444816053511683,Decrease
595,2000-04-19,17.0,2.941176470588225,Increase
596,2000-04-20,1.0,0.1680672268907557,Increase
598,2000-04-21,2.0,0.3355704697986628,Increase
567,2000-04-25,-31.0,-5.1839464882943105,Decrease
573,2000-04-26,6.0,1.0582010582010692,Increase
570,2000-04-27,-3.0,-0.5235602094240788,Decrease
570,2000-04-28,0.0,0.0,No Change
560,2000-05-01,-10.0,-1.7543859649122862,Decrease
568,2000-05-02,8.0,1.4285714285714235,Increase
578,2000-05-03,10.0,1.760563380281699,Increase
588,2000-05-04,10.0,1.730103806228378,Increase
600,2000-05-05,12.0,2.0408163265306145,Increase
605,2000-05-08,5.0,0.8333333333333304,Increase
629,2000-05-09,24.0,3.966942148760322,Increase
672,2000-05-10,43.0,6.836248012718604,Increase
695,2000-05-11,23.0,3.4226190476190466,Increase
712,2000-05-12,17.0,2.446043165467615,Increase
718,2000-05-15,6.0,0.8426966292134797,Increase
711,2000-05-16,-7.0,-0.974930362116988,Decrease
712,2000-05-17,1.0,0.14064697609001975,Increase
713,2000-05-18,1.0,0.1404494382022392,Increase
757,2000-05-19,44.0,6.171107994389913,Increase
762,2000-05-22,5.0,0.6605019815059343,Increase
770,2000-05-23,8.0,1.049868766404205,Increase
727,2000-05-24,-43.0,-5.584415584415581,Decrease
731,2000-05-25,4.0,0.5502063273727709,Increase
725,2000-05-26,-6.0,-0.8207934336525335,Decrease
719,2000-05-29,-6.0,-0.8275862068965467,Decrease
690,2000-05-30,-29.0,-4.033379694019468,Decrease
703,2000-05-31,13.0,1.8840579710144967,Increase
689,2000-06-01,-14.0,-1.9914651493598834,Decrease
646,2000-06-02,-43.0,-6.240928882438313,Decrease
656,2000-06-05,10.0,1.5479876160990669,Increase
679,2000-06-06,23.0,3.5060975609756184,Increase
672,2000-06-07,-7.0,-1.0309278350515427,Decrease
667,2000-06-08,-5.0,-0.7440476190476164,Decrease
662,2000-06-09,-5.0,-0.7496251874062998,Decrease
668,2000-06-12,6.0,0.9063444108761365,Increase
651,2000-06-13,-17.0,-2.5449101796407136,Decrease
645,2000-06-14,-6.0,-0.9216589861751112,Decrease
657,2000-06-15,12.0,1.8604651162790642,Increase
663,2000-06-16,6.0,0.9132420091324311,Increase
659,2000-06-19,-4.0,-0.6033182503770718,Decrease
661,2000-06-20,2.0,0.3034901365705611,Increase
652,2000-06-21,-9.0,-1.3615733736762503,Decrease
680,2000-06-22,28.0,4.294478527607359,Increase
685,2000-06-23,5.0,0.7352941176470562,Increase
691,2000-06-26,6.0,0.8759124087591275,Increase
686,2000-06-27,-5.0,-0.723589001447178,Decrease
679,2000-06-28,-7.0,-1.0204081632653073,Decrease
688,2000-06-29,9.0,1.3254786450662692,Increase
687,2000-06-30,-1.0,-0.14534883720930258,Decrease
670,2000-07-03,-17.0,-2.4745269286754024,Decrease
672,2000-07-04,2.0,0.29850746268655914,Increase
658,2000-07-05,-14.0,-2.083333333333337,Decrease
647,2000-07-06,-11.0,-1.6717325227963542,Decrease
652,2000-07-07,5.0,0.7727975270479082,Increase
651,2000-07-10,-1.0,-0.15337423312883347,Decrease
652,2000-07-11,1.0,0.1536098310291889,Increase
636,2000-07-12,-16.0,-2.4539877300613466,Decrease
632,2000-07-13,-4.0,-0.6289308176100628,Decrease
621,2000-07-14,-11.0,-1.7405063291139222,Decrease
620,2000-07-17,-1.0,-0.16103059581320522,Decrease
630,2000-07-18,10.0,1.6129032258064502,Increase
637,2000-07-19,7.0,1.1111111111111072,Increase
644,2000-07-20,7.0,1.098901098901095,Increase
642,2000-07-21,-2.0,-0.31055900621117516,Decrease
639,2000-07-24,-3.0,-0.4672897196261627,Decrease
639,2000-07-25,0.0,0.0,No Change
644,2000-07-26,5.0,0.782472613458518,Increase
652,2000-07-27,8.0,1.2422360248447228,Increase
654,2000-07-28,2.0,0.30674846625766694,Increase
650,2000-07-31,-4.0,-0.6116207951070374,Decrease
665,2000-08-01,15.0,2.3076923076922995,Increase
669,2000-08-02,4.0,0.6015037593984918,Increase
665,2000-08-03,-4.0,-0.5979073243647215,Decrease
662,2000-08-04,-3.0,-0.4511278195488688,Decrease
664,2000-08-07,2.0,0.30211480362538623,Increase
674,2000-08-08,10.0,1.5060240963855387,Increase
655,2000-08-09,-19.0,-2.8189910979228516,Decrease
668,2000-08-10,13.0,1.984732824427482,Increase
658,2000-08-11,-10.0,-1.4970059880239472,Decrease
660,2000-08-14,2.0,0.3039513677811634,Increase
686,2000-08-15,26.0,3.9393939393939315,Increase
684,2000-08-16,-2.0,-0.2915451895043719,Decrease
696,2000-08-17,12.0,1.7543859649122862,Increase
717,2000-08-18,21.0,3.0172413793103425,Increase
726,2000-08-21,9.0,1.2552301255230214,Increase
710,2000-08-22,-16.0,-2.203856749311295,Decrease
716,2000-08-23,6.0,0.8450704225352101,Increase
713,2000-08-24,-3.0,-0.41899441340782495,Decrease
701,2000-08-25,-12.0,-1.6830294530154277,Decrease
701,2000-08-28,0.0,0.0,No Change
701,2000-08-29,0.0,0.0,No Change
691,2000-08-30,-10.0,-1.4265335235377985,Decrease
686,2000-08-31,-5.0,-0.723589001447178,Decrease
669,2000-09-01,-17.0,-2.478134110787167,Decrease
674,2000-09-05,5.0,0.7473841554558991,Increase
654,2000-09-06,-20.0,-2.9673590504451064,Decrease
664,2000-09-07,10.0,1.5290519877675823,Increase
667,2000-09-08,3.0,0.45180722891566827,Increase
673,2000-09-11,6.0,0.8995502248875464,Increase
684,2000-09-12,11.0,1.634472511144125,Increase
682,2000-09-13,-2.0,-0.29239766081871066,Decrease
674,2000-09-14,-8.0,-1.1730205278592365,Decrease
677,2000-09-15,3.0,0.4451038575667754,Increase
690,2000-09-18,13.0,1.9202363367799125,Increase
696,2000-09-19,6.0,0.8695652173912993,Increase
694,2000-09-20,-2.0,-0.2873563218390829,Decrease
702,2000-09-21,8.0,1.1527377521613813,Increase
682,2000-09-22,-20.0,-2.8490028490028463,Decrease
686,2000-09-25,4.0,0.5865102639296182,Increase
690,2000-09-26,4.0,0.5830903790087438,Increase
681,2000-09-27,-9.0,-1.30434782608696,Decrease
668,2000-09-28,-13.0,-1.9089574155653488,Decrease
673,2000-09-29,5.0,0.7485029940119681,Increase
675,2000-10-02,2.0,0.2971768202080227,Increase
663,2000-10-03,-12.0,-1.7777777777777781,Decrease
655,2000-10-04,-8.0,-1.2066365007541435,Decrease
658,2000-10-05,3.0,0.45801526717557106,Increase
685,2000-10-06,27.0,4.103343465045595,Increase
686,2000-10-09,1.0,0.14598540145984717,Increase
692,2000-10-10,6.0,0.8746355685131268,Increase
695,2000-10-11,3.0,0.43352601156070314,Increase
719,2000-10-12,24.0,3.453237410071952,Increase
733,2000-10-13,14.0,1.9471488178025131,Increase
736,2000-10-16,3.0,0.4092769440654953,Increase
774,2000-10-17,38.0,5.163043478260865,Increase
787,2000-10-18,13.0,1.6795865633074891,Increase
776,2000-10-19,-11.0,-1.3977128335451061,Decrease
820,2000-10-20,44.0,5.670103092783507,Increase
828,2000-10-23,8.0,0.9756097560975618,Increase
850,2000-10-24,22.0,2.657004830917864,Increase
894,2000-10-25,44.0,5.1764705882352935,Increase
846,2000-10-26,-48.0,-5.369127516778526,Decrease
832,2000-10-27,-14.0,-1.654846335697402,Decrease
833,2000-10-30,1.0,0.12019230769231282,Increase
816,2000-10-31,-17.0,-2.0408163265306145,Decrease
826,2000-11-01,10.0,1.225490196078427,Increase
839,2000-11-02,13.0,1.57384987893463,Increase
886,2000-11-03,47.0,5.601907032181175,Increase
910,2000-11-06,24.0,2.708803611738153,Increase
915,2000-11-07,5.0,0.5494505494505475,Increase
992,2000-11-08,77.0,8.41530054644808,Increase
943,2000-11-09,-49.0,-4.939516129032262,Decrease
868,2000-11-10,-75.0,-7.9533404029692445,Decrease
847,2000-11-13,-21.0,-2.4193548387096753,Decrease
826,2000-11-14,-21.0,-2.4793388429752095,Decrease
